Schwierigkeit	Frage	DAS	B	C	D	Antworten	Kategorie
8	Wo liegt das Neandertal, das durch seine Funde im Jahr 1856 beruhmt wurde?	in Spanien	in Deutschland	in Frankreich	in osterreich	B	LaNDER
9	Wer spielte die Hauptfigur, Janos Karpathy, in dem Film "Ein ungarischer Nabob" von 1966?	Imre Sinkovits	Ferenc Bessenyei	Zoltan Latinovits	Ivan Darvas	B	FILM
1	Vervollstandigen Sie den Satz. "Er weiss, wo er sich drucken muss ..."	Zeit	der Huftgurt	der Schuh	die eiserne Faust	C	SPRACHE
2	Nach welchem Tier ist die Dammerungsblindheit benannt?	Fuchs	Wolf	Hirsch	Panther	B	SPRACHE
3	Der Beiname "weise" wurde an den Namen welchen biblischen Herrschers angehangt?	Solomon	David	Saul	Herodes	A	RELIGION
4	Wen hat Elizabeth Taylor zweimal geheiratet?	Edie Fischer	Richard Burton	Laurence Olivier	Clark Gable	B	FILM
5	Welches der folgenden Konigshauser hatte keinen Herrscher auf dem ungarischen Thron?	Luxemburgisch	Bourbon	Anjou	Jagiellonen	B	GESCHICHTE
6	Was fur eine Spirituose ist Armagnac?	Erdbeerschnaps	Nusslikor	Weingeist	Weizenbier	C	KuCHE
7	Wie lange lebte Methusalem?	1000	969	850	925	B	RELIGION
8	Was bedeutete das Wort Minister ursprunglich?	Kriegsherren	Lautsprecher	Kleinbauer	Knecht	D	SPRACHE
9	Welche Verdi-Oper spielt in Boston?	Der Maskenball	Die Macht des Untergangs	Ernani	Traviata	A	OPER
1	Welche der folgenden ist der Name eines Backprodukts?	pummelig	geschwollen	klein	Brotchen	D	KuCHE
2	Welches der folgenden Fahrzeuge hat seine Endstation in Varhegy in Buda?	Ausrustung	unter Tage	Segelflugzeug	Wippe	C	ALLGEMEINES
3	Wessen Frau war Julia Szendrey?	Mor Jokai	Goldener Johannes	Sandor Petofi	Pal Vasvari	C	LITERATUR
4	Welche Karte steht im Titel eines Puschkin-Werks?	Ass treffen	Konig der Asche	Pik-Dame	verdammter Jack	C	LITERATUR
5	Welches Tier hat eine Schere ausser einer Krabbe?	zum Siegel	zum Skorpion	zu den Quallen	zum Carvally	B	BIOLOGIE
6	Wo spielt Umberto Ecos Roman "Der Name der Rose"?	in einem Rosengarten	auf einem Anwesen in England	in einem Kloster	im Zug	C	LITERATUR
7	Wen oder was erschreckt der Blitz in Delacroix' Gemalde?	ein kleiner Junge	ein Reh	ein Dienstmadchen	ein Pferd	D	BILDENDE KUNST
8	Frau Corazon Aquino war Prasidentin welchen Landes?	Sri Lanka	Bangladesch	Indien	Philippinen	D	GESCHICHTE
9	An welchem christlichen Feiertag spielt Mascagnis Oper Bauernehre?	zu Ostern	bei der Taufe	zu Pfingsten	an Weihnachten	A	OPER
1	Welche Frucht fallt nicht weit vom Stamm, sagt das Sprichwort?	die William-Birne	die Kokosnuss	der Apfel	die Wurmkirsche	C	SPRACHE
2	Welches Tier kommt nicht in Walt Disneys Zeichentrickfilm Das Dschungelbuch vor?	Python	schwarzer Panther	Giraffe	Affe	C	FILM
3	Laut Endre Adys Gedicht, wer oder was hat gestern Paris besucht?	Napoleon	der Herbst	Ledas Schatten	Sankt Michael	B	LITERATUR
4	Welche der folgenden Stadte ist keine Kreisstadt?	Szekszard	Tatabanya	Esztergom	Salgotarjan	C	ERDKUNDE
5	Mit welcher Karte im Ulti sollte derjenige, der das "Ulti" nimmt, den letzten Treffer erzielen?	Trumpf mit sieben	Trumpf mit Ass	mit einem roten Konig	mit grunem Boden	A	SPIEL
6	Welche Band kommt im ungarischen Film Pirates vor?	Raubvogel	Bikini	Republik	Jazz+Az	D	FILM
7	Was ist der Beruf von Tevje, dem Protagonisten von Fiddler on the Roof?	Schneider	Metzger	Milchmann	Geldwechsel	C	OPER
8	In welchem Land liegt die Grosse Victoria-Wuste?	Vereinigte Staaten von Amerika	Australien	Kanada	Republik von sudafrika	B	ERDKUNDE
1	Was fur eine "Bastion" wurde nach den Planen von Frigyes Schulek auf Varhegy in Buda gebaut?	Jager	Bogenschutze	Fischer	Vogelbeobachter	C	DIE ARCHITEKTUR
2	Was oder wer heisst Bernstein?	Wein liebender alter Mann	Laufer Pflanze	die Waffel der Eiswaffel	Huhnereintopf mit Wein	B	SPRACHE
3	Tik ist der umgangssprachliche Name welchen Tieres?	Ente	Gans	Henne	Pfau	C	SPRACHE
4	Wer von den folgenden Malern war Deutscher?	Turner	Goja	Gauguin	Rembrandt	D	BILDENDE KUNST
5	Wie heisst die Hexe in Vorosmartys Werk Csongor und Tunde?	Warze	Krote	Druse	Mine	C	LITERATUR
6	Wie bringt man den Sprecher zum Sprechen?	getroffen werden	sie klimpern	mit einem Seil	sie blasen es	D	OPER
7	In welcher Sportart gab es vierzig Jahre lang ab 1924 immer einen ungarischen Olympiasieger?	Kajak fahren	Schwertkampf	Funfkampf	Ruckenschwimmen	B	SPORT
8	Was ist die Hauptstadt von Mazedonien?	Sarajewo	Skopje	Priština	Teilt	B	LaNDER
9	Wo spielt Geza Ottliks Roman Schule an der Grenze?	in einem Gefangnis	in einer Militarschule	an einem Oxford-College	am Debrecener Lyzeum	B	LITERATUR
10	Welche der folgenden ist keine Kohlenstoffverbindung?	Kalkstein	Methan	Ameisensaure	Gips	D	WISSENSCHAFT
11	Welcher der folgenden Schauspieler gehorte nicht zu den Grundern des Filmstudios United Artists?	Maria Pickford	Charlie Chaplin	Douglas Fairbanks	Gloria Swanson	D	FILM
12	Welche Operette war Imre Kalmans letzte Komposition?	Das Veilchen von Montmartre	Grafin Marica	Teufelsreiter	Arizona-Dame	D	OPER
1	Welcher "Donut" ist der Name eines Kuchens?	Offizier	Vertreter	Krieger	anstrengend	B	KuCHE
2	Wer war die Mutter des ungarischen Konigs Matyas Hunyadi?	Ilona Zrínyi	Erzsebet Szilagyi	Teresa von Braunschweig	Gertrud von Meranien	B	GESCHICHTE
3	Gegen welche Tiere kampft Miklos Toldi im Schilf?	mit Baren	mit Bullen	mit Wolfen	mit Wildschweinen	C	LITERATUR
4	Wer war der Reserveastronaut des ungarisch-sowjetischen Raumfluges?	Attila Grandpierre	Bela Magyar	Ferenc Veres	Imre Toth	B	ALLGEMEINES
5	Wer von den Folgenden war nicht der Generalsekretar der Vereinten Nationen?	Perez de Cuellar	Butros Ghali	Olof Palme	U Thant	C	GESCHICHTE
6	Der Protagonist welchen Films ist Ungar?	Amerikanische Schonheit	Eine Franzosin	Der Englander ist krank	Lawrence von Arabien	C	FILM
7	Wer war der erste Schlagzeuger der Beatles?	Hallo Sutcliffe	Ringo Starr	Richard Starkey	Peter Best	D	MUSIK
1	Welcher der folgenden ist der Name einer Art von Kulturtabak?	Spaten	Sense	Hacke	grosse Glocke	C	BIOLOGIE
2	Welches Tier hatte Bileam, der mesopotamische Prophet,?	Kamel	Floh	sein Hund	zum	D	RELIGION
3	Das Dorf von Odysseus wurde wahrend der Belagerung welcher Stadt benutzt?	Jericho	Syrakuza	Sparta	Troja	D	LITERATUR
4	Welche der folgenden Fruchte wachst auf einer Palme?	Banane	Zitrone	Datum	Feige	C	BIOLOGIE
5	Wie heisst ein Hilfsmittel, das beim Angeln verwendet wird?	Klopfen	fliegend	Blinklicht	holperig	C	ALLGEMEINES
6	Wo fand die Fussball-Europameisterschaft 2000 statt?	in Norwegen und Schweden	in Portugal	Irland	in den Niederlanden und Belgien	D	SPORT
7	Welches Ministerressort erhielt Ferenc Madl 1993?	gerichtlich	kulturelle und offentliche Bildung	finanziell	gewerblich und gewerblich	B	GESCHICHTE
8	Was misst die Beaufort-Skala?	Windstarke	Erdbeben	atomare Strahlung	Temperatur	A	WISSENSCHAFT
9	Wer trifft sich in Master MSs Bild Visitatio?	Mathias und Beatrix	Maria und Elisabeth	Jesus und Maria Magdalena	II. Lajos und Janos Szapolyai	B	BILDENDE KUNST
10	In welchem unserer Berge ist die Burg Boldogko zu sehen?	in Mecsek	in Bakony	in Cserhat	im Zempleni-Gebirge	D	UNGARN
11	Welcher der folgenden Astronauten hat den Mond nicht besucht?	David Scott	James Irwin	Eugene A. Cernan	James Arthur Lowell	D	WISSENSCHAFT
1	Was geht nach dem Sprichwort weg im Gegensatz zum Schreiben?	der Geruch von Tinte	Sehnenentzundung	das Wort	der Ballon	C	ALLGEMEINES
2	Welche der folgenden Personen wurde Lebensmittelhandler genannt?	kurzes blubbern	Geldborse	Hoschen	Buggy-Junge	B	SPRACHE
3	Wie hiess die romische Kolonie an der Stelle des heutigen Westungarns?	Hunnien	Alba Ungarn	Arkadien	Pannonien	D	GESCHICHTE
4	Wie lautet die bekannte Abkurzung des internationalen Einheitensystems?	SKI	NM	AUCH	EINS	A	WISSENSCHAFT
5	In welchem literarischen Werk kommt das Zitat vor? "Mische ernsthaft die Gegenwart mit der fernen Zukunft..."	Wort	Hymne	Hust	Gedanken in der Bibliothek	C	LITERATUR
6	Wer oder was bildete die angeblich unbesiegbare Armada?	Franzosische Legionare	Spanische Kriegsschiffe	Englische Ritter	Romische Legionen	B	GESCHICHTE
7	Welche der aufgefuhrten deutschen Stadte liegt nicht an der Elbe?	Hamburg	Wittenberg	Bremen	Dresden	C	ERDKUNDE
8	Ein Mangel an welchem Vitamin fuhrt zu einer erhohten Blutungsneigung?	Das Vitamin	Vitamin K	Vitamin-D	Vitamin B	B	BIOLOGIE
10	Der wirkliche Name des grossen franzosischen Schriftstellers Stendhal ist Marie-Henri Beyle. Woher haben Sie den Pseudonym Ihres Autors?	Von einem von Napoleons Pferden	von seiner Kinderpflegerin	von einem legendaren Zauberer	aus einer preussischen Stadt	D	LITERATUR
1	Wie heisst ein Gerichtsverfahren in einer Bagatellsache?	Mutzenkampf	Huhnerversuch	Ohrmule-Debatte	Flohfalle	B	ALLGEMEINES
2	Vervollstandigen Sie den Satz. "…, die Karawane bewegt sich."	die Katze miaut	die Grille zirpt	das Schwein grunzt	Der Hund bellt	D	SPRACHE
3	Wie heisst der dumme Hund, der mit Garfield im Haushalt lebt?	Krumel	Ubul	Knurren	Bodri	B	ALLGEMEINES
4	Wofur war Poseidon der Gott der griechischen Mythologie?	Schmiedekunst	das Meer	der Wein	die Weisheit	B	RELIGION
5	Was war Gullivers Beruf in Swifts Arbeit?	Schiffskapitan	Schiffskoch	Schiffsarzt	Seemann	C	LITERATUR
6	In welcher Oper wird "Víragaria" aufgefuhrt?	Verdi: Aida	Puccini: Toska	Gounod: Faust	Bizet: Carmen	D	OPER
7	Was war das Erste auf der Welt, das Louis Bleriot 1909 uberflog?	der atlantische Ozean	der Pazifische Ozean	das Mittelmeer	der englische Kanal	D	ALLGEMEINES
8	Welcher Monchsorden gehort das Kloster Pannonhalm?	dominikanisch	Benedektiner	Paul	Franziskaner-	B	UNGARN
9	Welcher legendare Hauptling der amerikanischen Ureinwohner wird im Film Buffalo Bill und die Indianer dargestellt?	Winnetou	Rote Wolke	Sitzender Bulle	Osceola	C	FILM
10	Welche der folgenden mythologischen Figuren ist nicht weiblich?	Eris	Demeter	Daphnis	Chruschtschow	C	RELIGION
1	Was sagt man, wenn man sich uber etwas aufregt?	Montag	Dienstag	Mittwoch	Donnerstag	D	SPRACHE
2	Wen schlagt Matyi Ludas dreimal?	die eiserne Hebamme	der Gev-Richter	Nils Holgerson	Es sturzt ab	D	LITERATUR
3	Was wurde fruher in den Calamari aufbewahrt?	Schweinefutter	Tinte	Papier	Abfall	B	SPRACHE
4	Was frisst der standig nagende Koala?	mit Bambus	mit Eukalyptusblattern	mit Rote Bete	mit Kokosnuss	B	BIOLOGIE
5	Welcher Jazzmusiker hatte den Spitznamen "Satchmo"?	Meilen davis	Benny Gutmann	Louis Armstrong	Herzog Ellington	C	MUSIK
1	Wer pragt die Modetrends?	die Modeschamanen	die Klamotten-Gurus	die Bildhauerinnen	die Modediktatoren	D	ALLGEMEINES
2	"Der Clip sitzt fest", sagt ein Sprichwort. Welchen Teil unseres Korpers braucht es?	an unseren Handen	an unseren Fussen	auf unseren Kopfen	an unserer Taille	B	ALLGEMEINES
3	Was fur eine Art von Tier ist das?	junges Lamm	ob	gealtertes Vieh	Rennpferd	B	BIOLOGIE
4	Warum hat Kalman Mikszath einen Roman uber die Belagerung geschrieben?	Es ist widerlich	Maus	Bester	Szigetvar	C	LITERATUR
5	Was sind Falsche Mehltau-Schadlinge?	Pilze	Milben	Lause	Viren	A	BIOLOGIE
6	Welche Farbe hat der Islam?	grun	gelb	Weiss	Schwarz	A	RELIGION
7	Wer hat die angeblichen Ruinen von Troja entdeckt?	Champollion	Homer	Schliemann	Evans	C	GESCHICHTE
1	Vervollstandigen Sie den Satz. "Das Buhen ist richtig, ..."	Tiger	Lowe	Kuh	Kakadu	B	SPRACHE
2	Was fur ein Kuchenwerkzeug ist ein Vajdling?	Waschbecken	Holzloffel	Knetbrett	Nudelschneider	A	ALLGEMEINES
3	Wer spielte in den Operetten die Rolle des eleganten Sanger-Tanzers?	die Verliebten	der Intrigant	auf bonviva	der Resonator	C	OPER
4	Von welchem unserer Konige war Beatrix die Frau?	II. Ludwig	Mathias	St. Stephan	Robert Karoly	B	GESCHICHTE
5	Wessen Frau verwandelte sich im Ruckblick in ein Idol aus Salz?	Clinton	Ein Pferd	Putifar	Noah	B	RELIGION
6	Warum haben Suffragetten um die Jahrhundertwende gekampft?	gegen das Korsett	fur das Frauenwahlrecht	fur das Scheidungsrecht	fur das Recht zu lernen	B	GESCHICHTE
1	Welches der Folgenden wird von Winzern verwendet?	Arm	Hubsch	Wachter	Dieb	D	ALLGEMEINES
2	Auf welcher Grundlage konnen wir unser Horoskop erstellen lassen?	unser Korpergewicht	unsere Geburtszeit	unsere Fussgrosse	das Alter unserer Eltern	B	ALLGEMEINES
3	In welcher Stadt befindet sich der Hauptsitz der Vereinten Nationen?	Paris	Genf	San Francisco	New York	D	LaNDER
4	Wie ist der gebrauchliche Name der Totenmesse?	Kyrie	Langeweile	Massenfest	Requiem	D	RELIGION
5	Was bedeutet das Aufrufen eines Sanzadu in einem Kartenspiel?	Rot ist Trumpf	ohne Trumpf gespielt	Pik ist die Trumpfkarte	der Joker ist die Trumpfkarte	B	SPIEL
6	Welche Nation hat das beruhmte Machu Picchu gebaut?	Die Azteken	die Inkas	die Sioux	die Perser	B	GESCHICHTE
7	Wer war der Erzieher der Sohne von Janos Hunyadi?	Janus Pannonius	Tapferer John	Johannes Regiomontanus	Tapferer Johann	B	GESCHICHTE
8	Welche Funktion hat ein Teleskop im Auto?	Sehverstarker	Stossdampfer	Zapfsaule	Zundeinsteller	B	TECHNIK
9	Wer spielte die Hauptrolle im Westernklassiker "Six Tooth"?	Steve Martin	John Wayne	Karl Bronson	Steve McQueen	B	FILM
10	Welcher Wrestler hat bei zwei aufeinanderfolgenden Olympischen Spielen Goldmedaillen gewonnen?	Istvan Kozma	Imre Hodos	Gyula Bobis	Csaba Hegedus	A	SPORT
1	Welches Getrank steht im Titel von Horvaths Charlie-Song: "Eis..."	mit alkoholfreiem Bier	mit doppeltem Kaffee	mit einfachem Schnaps	mit doppeltem Whisky	D	MUSIK
2	Um was fur eine Mauer geht es in dem beruhmten Roman von Zsigmond Moricz?	Neujahrs	Gentry	Herr	Kreuz Herr	C	LITERATUR
3	Wer war Jockey Ewing Patrick Duffys Bruder in Dallas?	Lucy	Jimmy	Steve	Bobby	D	FILM
4	Die Frucht welchen Baums ist eine der Farben der ungarischen Karte?	Kiefer	Nussbaum	Mandel	Eiche	D	SPIEL
5	Wie gross ist die Schallgeschwindigkeit in Luft?	330 km/s	330 m/s	400 km/s	400 m/s	B	WISSENSCHAFT
6	Wie hiess der Rockmusiker Zoltan Zana?	Flipper-Bruder	Pierrot	Qka MC	Ganxsta Zolee	D	MUSIK
7	Wer folgte Stalin als Vorsitzender der Kommunistischen Partei der Sowjetunion nach?	Andrej Gromiko	Nikita Chruschtschow	Georg Malenkow	Leonid Breschnew	B	GESCHICHTE
8	Wie heisst ein muslimischer Richter, der nach Gewohnheitsrecht und Koran urteilt?	Derwisch	Hodge	Wanne	Diwan	C	RELIGION
9	Wie hiess das erste ungarische Filmstudio?	Ungarn	Urania	Hunnien	Pannonien	C	FILM
1	HeV ist die Kurzform des Namens welchen Verkehrsmittels?	S-Bahn	Langlebige Eisenbahn	Hamar-Erkezo-Eisenbahn	Nah- und Fernverkehr	A	ALLGEMEINES
2	Mit welchem Tier ist es ublich, ein Familienmitglied zu vergleichen, das sich verirrt hat?	weisser Rabe	schwarzes Schaf	graue Taube	schwarze Katze	B	SPRACHE
3	Welcher Teil der Blume ist der Stiel?	das Blutenblatt	seine Staubblatter	der Griff	seine Hoden	C	BIOLOGIE
4	Wen wollte Konig Eduard in der Ballade von Janos Arany heiraten?	die walisischen Barden	Montgomery	der Lordmajor	hohere Gewalt	C	LITERATUR
5	Wer vertrat England 1945 auf der Konferenz von Jalta?	Attlee	Churchill	Truman	Macmillan	B	GESCHICHTE
1	Wo sagt das Sprichwort, dass das Kalb starrt?	zum neuen Trog	auf die neue Weide	zum neuen Tor	zum neuen Stier	C	SPRACHE
2	Was haben Seefahrer vor langer Zeit in Knoten gemessen?	die Schiffsgeschwindigkeit	die Breite des Grosssegels	die Entfernung zum Festland	die Lange des Schiffes	A	ALLGEMEINES
3	Woher entfuhrte Hades, der Herr der Unterwelt, Herkules in Walt Disneys Zeichentrickfilm?	von Helikon	von Tantalus	der Taygetos	des Olymps	D	FILM
4	Welches Land ist kein baltischer Staat?	Estland	Lettland	Litauen	Georgia	D	LaNDER
5	Welcher Name wird verwendet, um sich auf Mor Jokai zu beziehen?	der Schreiber der Nation	der grosse Geschichtenerzahler	der Herold der Geschichte	der Kunstler des Augenblicks	B	LITERATUR
6	Wo liegt das Braunschweiger Schloss in Ungarn?	Satoraljaujhely	Auf Sirak	Aschdod	Martonvasar	D	UNGARN
7	Wer machte das Christentum zur offiziellen Religion im alten Rom?	Augustus	Diokletian	Tiberius	Konstantin	D	GESCHICHTE
1	Welcher der folgenden ist ein beliebter Name fur Mais?	See	maritim	Fluss	Strom	B	SPRACHE
2	Welcher Tag und welche Nacht steht im Titel des Films mit den Beatles?	ein mutiger	ein leichtes	ein schwieriges	ein Musiker	C	FILM
3	Welcher Schiffstyp wurde mit Rudern angetrieben?	der Klipper	der Schoner	die Karavelle	die Galeere	D	ALLGEMEINES
4	Welche Farbe kommt nicht in The Tragedy of Man vor?	agyptisch	romisch	Athener	persisch	D	LITERATUR
5	Wen wollte Abraham laut der Bibel opfern?	Esau	Jacob	Elia	Isaak	D	RELIGION
6	Wessen popularer Name war Jank Szibinyani?	John Husz	Janos Szapolyai	Janos Capistran	Janos Hunyadi	D	GESCHICHTE
7	In welcher Oper konnen Sie den Refrain horen, der mit "Meghalt a cselszovo ist tot, die hassliche Fehde tobt nicht mehr" beginnt?	Erkel: Bank bank	Rossini: Vilmos Tell	Verdi: Nabucco	Erkel: Laszlo Hunyadi	D	OPER
1	Wo stinkt etwas laut Hotel?	in der Apotheke	in der Sockenschublade	im Kaseladen	in Danemark	D	SPRACHE
2	Welche "Party" spielten Jack Lemmon und Walter Matthau im Titel ihrer Komodie?	geizig	Sodomie	seltsam	verheiratet	C	FILM
3	Welches Tier gehort nicht zu den Bremer Musikern?	Gans	Esel	Hahn	Katze	A	LITERATUR
4	Welcher der folgenden ist keine Weinsorte?	Stierblut	Irene Kocsis	grau-freundlich	zu trauern	B	KuCHE
5	Was tut jemand, der jemanden auf ein Podest stellt?	opfern	offentlich macht	verherrlicht	stellt es auf einen Sockel	C	SPRACHE
6	Aus welchen der folgenden Schweinefleischsorten wird Schinken hergestellt?	Schwellung	Schenkel	Furz	Traber	B	KuCHE
1	Was ist eine bekannte Aktivitat, die bei spiritistischen Sitzungen durchgefuhrt wird?	Hocker schwimmt	Hockey springen	Bett lauft	Tischtanz	D	ALLGEMEINES
2	Welche Instrumentenbezeichnung weist auf einen Bremstyp hin?	Tuba	Bassgitarre	Cembalo	Trommel	D	SPRACHE
3	Welchen Korperteil hatte Cyrano, der Held des Rostand-Dramas?	seine Ohren	sein Bein	seine Nase	sein Finger	C	LITERATUR
4	Das Weibchen welchen wilden Tieres wird Suta genannt?	Eichhornchen	Rogen	Strauss	Gamse	B	BIOLOGIE
5	Welcher der folgenden ist der Titel eines Romans von Antal Szerb?	Die Forsyte-Saga	Die Pendragon-Legende	Die Thibault-Familie	Buddenbrook-Haus	B	LITERATUR
6	Wo starb Graf Istvan Szechenyi?	Nagycenken	In Dobling	in Debrecen	In budapest	B	GESCHICHTE
7	Wessen Werk war die Grundlage fur Zoltan Kodalys Theaterstuck Janos Hary?	Mihaly Vorosmarty	Sandor Kisfaludy	Ferenc Verseghy	John Garay	D	OPER
1	Was ist Kandur in dem bekannten Marchen?	Verzeihung	Hut	Stiefel	Stiefel	D	LITERATUR
2	Welches der Folgenden wird Pieper genannt?	eine Pflanze	der Huhnerstall	Singvogel	der Geflugelhof	A	SPRACHE
3	Das beruhmte Museum welcher Stadt ist der Louvre?	Reims	Paris	Lyon	Marseille	B	LaNDER
4	Vilmos Tell ist der Nationalheld welchen Landes?	Frankreich	Schottland	Schweiz	Die Niederlande	C	LaNDER
5	Welche Band hat daruber gesungen, wie schwer die Schultasche ist?	Bojtorjan-Ensemble	Bergendy-Ensemble	Phonographen-Ensemble	Neoton Família	B	MUSIK
6	Muammar Gaddafi ist Staatsoberhaupt welchen Landes?	Libanon	agypten	Libyen	Afghanistan	C	GESCHICHTE
7	Wer ist der Schutzpatron der Reisenden?	Heilige Barbara	Heiliger Christophorus	Heiliger Hieronymus	Sankt Martin	B	RELIGION
8	Welches Land heisst heute Myanmar?	Birma	Ceylon	Laos	Thailand	A	LaNDER
9	Wo haben die Romer Hannibal schliesslich besiegt?	Im Mediolanum	Bei Canne	In Tarent	Bei Zama	D	GESCHICHTE
10	Welche Schauspielerin wurde durch ihren ursprunglichen Nachnamen beruhmt?	Marlene Dietrich	Sophia Loren	Brigitte Bardot	Marilyn Monroe	C	FILM
11	Wer entdeckte mit seinem Fernrohr die Berge des Mondes und die vier Jupitermonde?	Nikolaus Kopernikus	Galileo Galilei	Johannes Kepler	Karl Friedrich Gauss	B	WISSENSCHAFT
1	Wer ist Castors Zwilling in der griechischen und romischen Mythologie?	Deluxe	Cellux	Pollux	Pollen	C	RELIGION
2	Wie heisst der erste Teil der Filmreihe uber die Abenteuer des Leutnant Drebin?	Flauschige Waffe	Nackte Waffe	Fauler Karabiner	Kahle Pistole	B	FILM
3	An welchem Fluss wurde ich nach dem Volkslied nach Ladik fahren?	Raban	An der Donau	Tisza	Sajon	C	LITERATUR
4	Wie heisst Hitlers Putschversuch von 1923?	Wein-Coup	Bier-Coup	Rum-Coup	Schnappschuss	B	GESCHICHTE
5	Welchen der folgenden konnen Russelkafer schaden?	in der Bohne	im Parkett	im Kartoffelblatt	im Kleid	A	BIOLOGIE
6	Wer ist die Hauptfigur in Laszlo Aranys Werk The Hero of Mirage?	Pal Pato	Balazs Hubele	Csepu Palko	Dummkopf Istok	B	LITERATUR
1	Welche Art von Proof war in der Fachsprache der Druckerei enthalten?	Kamm	Zange	Burste	Pumpe	C	SPRACHE
2	Wer ist der Protagonist der Krimi-Comedy-Serie mit Louis de Funes?	Bohrturm	Batman	Zorro	Phantom	D	FILM
3	Was hat er bekommen, dem obsit gegeben wurde?	monatliches Gehalt	Entlassungsurkunde	warmes Abendessen	Forderung	B	SPRACHE
4	Wie lautet der Titel von Chaucers Hauptwerk?	Geschichten aus Crow Hill	Canterbury-Geschichten	Geschichten von Hoffmann	Geschichten von Onkel Remus	B	LITERATUR
5	Wie heisst das Pferd Schnee?	unbezahmbar	mit gefleckter Stirn	schnell	Weiss	B	BIOLOGIE
6	In welcher Burg wurde Balint Balassi geboren?	Eine Blase	Szendro	Marke Messer	Esztergom	A	LITERATUR
1	Was konnen wir mit der Spur desjenigen machen, der das Rad gelost hat?	wir konnen es heiss halten	Wir konnen es mit einem Stock schlagen	kann in Gips gegossen werden	wir konnen es wegschieben	B	SPRACHE
2	Welche der folgenden ist der Name eines Kartenspiels?	kitzlig	Marys	Dungung	Koralle	B	SPIEL
3	Vervollstandigen Sie den Titel von Gerald Durrells Arbeit. "Meine Familie und andere..."	Schicksalsschlage	Tierarten	Testgegenstande	Ausserirdische	B	LITERATUR
4	Was war Jozsef Bems Herkunft?	Polieren	kroatisch	osterreichisch	Sachsisch	A	GESCHICHTE
5	Welcher Fluss wurde durch den Bau des Assuan-Staudamms kontrolliert?	der Nil	der Jangtse	die Amazone	der Mississippi	A	ERDKUNDE
6	Wem hat Vorosmarty sein Gedicht A merengohoz empfohlen?	Fur Rosa	Zu Laura	Zu Julia	Fur Essen	B	LITERATUR
7	In welcher Disziplin wurde Tibor Gecsek bei den Europameisterschaften 1998 in Budapest Erster?	beim Speerwerfen	im Hammerwurf	beim Diskuswerfen	im Kugelstossen	B	SPORT
8	Zu welcher Pflanze gehort Hopfen?	Hanf	Gerste	Anemone	Mohn	A	BIOLOGIE
1	Wen oder was nennt der Volksmund scherzhaft Gezenguz?	der freche Baby-Mungo	das widerspenstige Kind	die schelmische Verbandsschwester	das Unkraut gejatet	B	SPRACHE
2	Welches der folgenden ist eines der Tierkreiszeichen des Horoskops?	Vogel	Schlangen	Frosche	Fische	D	ALLGEMEINES
3	Wie heisst die Kochshow von RTL Klub?	Kulinarische Kunst	Rezept-Club	Rozi-Schule	Leg dich mit uns an!	B	ALLGEMEINES
4	Zu welcher Tageszeit nieselt es draussen?	Nachmittag	am Morgen	Dammerung	Mitternacht	C	ALLGEMEINES
5	Gyula Vikidal spielte die Hauptrolle in dem Musical, das auf welchem Roman von Victor Hugo basiert?	Notre-Dame in Paris	Die Elenden	Der lachende Mann	Arbeiter des Meeres	B	MUSIK
6	Was ist die Position eines Adjutanten in der Armee?	Lebensmittelkommissar	Bezirksleiter	Hilfsoffizier	Locator-Manager	C	ALLGEMEINES
7	Wer war der Prasident der USA wahrend der ungarischen Revolution von 1956?	Eisenhower	Nixon	Kennedy	Truman	A	GESCHICHTE
1	Was entsteht bei der chemischen Reaktion einer Saure und einer Base?	Salz	Pfeffer	Nelke	Ingwer	A	WISSENSCHAFT
2	Welcher Schwager wird in dem ungarischen Volksgedicht erwahnt, das mit "Egyedem-begyedem Meerestanz" beginnt?	osterreichisch	Hajdu	labanc	Polieren	B	LITERATUR
3	Wo ist er, der in einer Garnison ist?	in einer Einzimmerwohnung	in Garnison	in der Kuche	in einer Arztpraxis	B	SPRACHE
4	Wie heisst das Musical von Lloyd Webber: "Joseph and the colorful, widescreen..."	Filmrahmen	Fernsehen	Traum Mantel	Wunderknabe	C	MUSIK
5	Was wurde ein Reiherspinner genannt?	Kopfschmuck	Radtyp	gebratene Vogelkeule	Ellenbogenschoner	A	SPRACHE
6	In welchem Land brach der Boxeraufstand aus?	Indien	China	Japan	agypten	B	GESCHICHTE
1	Was ist laut Sprichwort der Rucken des zitternden Mannes?	im Schlangenleder	in Hundehaut	in Engelshaut	in Gansehaut	D	SPRACHE
2	Weiter so mit dem Lied! "Es ist immer der schonste Moment, was..."	Wir haben keine Zeit zu leben	das Leben gibt nicht	man schlaft durch	der Mann fullt mit Wein	B	MUSIK
3	Welche Einheit ist ein Hektar?	Volumen	Menge	Bereich	Lange	C	WISSENSCHAFT
4	Was ist das "Land" im Titel der Operette von Ferenc Lehar?	das Lacheln	die Liebe	die Amazonen	die Tranen	A	OPER
5	Wer trauert um Mexiko, so der Titel von Passuths Roman?	Cortez	Regengott	Sonnengott	Montezuma	B	LITERATUR
6	Wo ist der Hauptsitz des Internationalen Roten Kreuzes?	in Paris	in Genf	in Brussel	in Wien	B	LaNDER
7	Was machen die ostlichen Volker damit?	sie trinken es	sie spielen trommeln darauf	sie fischen damit	sie rauchen es	A	ALLGEMEINES
