Difficulty	Question	THE	B	C	D	Answer	Category
3	The main hero of which film is the Vietnam veteran played by Sylvester Stallone?	Conan the Barbarian	Rocky	Rambo	Forrest Gump	C	MOVIE
4	Which of the following did the ancient Romans use the term biga for?	rowing boat	two-wheeled cart	young maid	polygamous Greek	B	LANGUAGE
5	Where is the terminus of the Trans-Siberian railway from Moscow?	in Saint Petersburg	In Vladivostok	Nahodka	in Novosibirsk	B	COUNTRIES
6	Who was the child of David and Bathsheba?	Saul	Solomon	Adonia	Samuel	B	RELIGION
7	Which American president visited the Berlin Wall in 1963?	John F. Kennedy	Lyndon B. Johnson	Dwight D. Eisenhower	Richard M. Nixon	A	HISTORY
8	Who did not play the "son of a stone-hearted man" in Zoltan Varkonyi's film released in 1965?	Geza Tordy	Tibor Bitskey	Karoly Mecs	Peter Benk	D	MOVIE
1	What kind of skin appears on us when we are cold or scared?	orange skin	goosebumps	rag leather	bacon skin	B	BIOLOGY
2	According to the saying, what does he reap who sows the wind?	breeze	there is a thunderstorm	torrential rain	a storm	D	LANGUAGE
3	According to the title of the comedy, what shoes does the "tall blond man" wear?	snakeskin	stomped	half and half	goose sole insole	C	MOVIE
4	Which garment's name represents a family of fungi?	on my head	pub	footcloth	jackass	B	BIOLOGY
5	Which Hungarian football player was called "Szke Szikla"?	Imret Garaba	Istvan Szke	Kalmant Meszoly	Zoltan Varga	C	SPORTS
6	What is the name of the Queen of the Netherlands?	Margaret	Beatrix	Elizabeth	Christina	B	HISTORY
7	Which Hungarian mathematician can be considered one of the founders of game theory?	Ern Rubik	John Neumann	Janos Bolyai	Bolyai Wolf	B	SCIENCE
8	What is the title of Pasolini's film about the life of Jesus?	Gospel of Mark	Gospel of Luke	Gospel of John	Gospel of Matthew	D	MOVIE
9	Which statement is not true about pelicans?	they live a nocturnal life	some hibernate	predators	their tails are bushy	C	BIOLOGY
1	Which "apple" is the name of a plant?	gradient	grenade	dummy	goof	B	BIOLOGY
2	Who is Hacsek's partner in the well-known cabaret scenes?	Sio	That's it	Taszilo	Cats	B	GENERAL
3	Quartier Latin is a notable student quarter of which city?	Paris	Bologna	London	Heidelberg	A	COUNTRIES
4	Which ace of the Hungarian card shows the symbol of summer?	red	acorn	green	pumpkin	D	GAME
1	What will happen to the ugly duckling in Andersen's fairy tale?	turkey	swan	ostrich	ugly duckling	B	LITERATURE
2	Where did men wear the fusekli?	in their ears	on their feet	on their belt	on their hands	B	GENERAL
3	How is the baguette made?	cookies	they sew	they carve	forged	A	GENERAL
4	Which literary hero makes a pact with Mephisto?	Phaedra	Faust	Rastignac	Raskolnikov	B	LITERATURE
5	Who wrote a book on the origin of species?	Sigmund Freud	Gyula Laszlo	Ivan Petrovich Pavlov	Charles Darwin	D	BIOLOGY
6	What is the motto of the Benedictine order?	Paris is worth a visit!	Ora et labora!	Get up and walk!	Carpe diem!	B	RELIGION
7	How many permanent members are there in the UN Security Council?	4	5	7	9	B	GENERAL
8	Where was the first horror movie about Godzilla made?	in China	in India	in Japan	in France	C	MOVIE
9	Who wrote the Farewell Symphony?	Beethoven	Haydn	Schubert	Mendelssohn	B	OPERA
1	A type of beard is named after which animals?	owl	goat	Lion	seal	B	GENERAL
2	Who did he sing about on the Pa-Do-Do band's 1994 album?	About Janos Szabo	About Lajos Toth	About Jozsef Kovacs	About Bela Kiss	A	MUSIC
3	Which movie is not set in ancient times?	Cleopatra	Ben Hur	Decameron	Spartacus	C	MOVIE
4	What did our ancestors use the trinket for?	for cooking	for lighting	for vision correction	as medicine	C	GENERAL
5	In which country does the musical "Fiddler on the Roof" take place?	in Russia	in France	in Israel	in Poland	A	MUSIC
6	Who is the lady that Cyrano is in love with in Rostand's work?	Virginia	Roxanne	Charlotte	Brigitte	B	LITERATURE
7	Which of the following is a close relative of cattle?	emu	zebu	armadillo	Nandu	B	BIOLOGY
8	Who built the famous Spanish royal palace, the Escorial?	Ferdinand of Aragon	Isabella of Castile	Charles V	II. Philip	D	HISTORY
1	What is the name of a soup noodle?	chirping	chickpea	a pinch	bud	C	KITCHEN
2	Which animal's "milk" is a plant name?	rooster	fish	bloodhound	dog	D	BIOLOGY
3	Which road sign is not circular?	"Roundabout"	"Priority is mandatory"	"Do not enter"	"No stopping"	B	GENERAL
4	"The Englishman Who Went Up the Hill, ..." How does the title of Hugh Grant's film continue?	and stuck there	but he broke his leg	but it came down from a mountain	and got married	C	MOVIE
5	Broadway, famous for its theaters, is located in which city?	Los Angeles	San Francisco	new York	Boston	C	COUNTRIES
6	Which of our kings bears the epithet "kun"?	II. Bela	III. Andrew	ARC. Laszlo	II. Stephen	C	HISTORY
7	Which fictional hero was born by Dezs Kosztolanyi?	Burning Esther	Todor Krisztyan	Kornel Esti	Kazmer Rezeda	C	LITERATURE
8	Which band sang about Rasputin in the 70s?	ABBA	Genghis Khan	Boney M.	Blondie	C	MUSIC
1	What is called a streamer?	river brigade	the price of hot water	creeper	shoemaker's tool	C	LANGUAGE
2	According to the folk song, what wind blows water?	autumn	stormy	spring	Northern	C	LITERATURE
3	Which of the following is tracing paper used for?	to write codes	for insulating house walls	for decorative packaging	for making blueprints	D	GENERAL
4	What does the cook do with the meat when it is cooked?	pickle it	grinds it down	he cuts it	fur	C	KITCHEN
5	What does the musical term requiem mean?	rib	mourning mass	medieval student	Easter round dance	B	OPERA
6	Which party won the 1945 parliamentary elections in Hungary?	Independent Smallholder Party	Hungarian Communist Party	Social Democratic Party	National Peasant Party	A	HISTORY
7	Who was not a member of the Phonograph band?	Mihaly Moricz	Laszlo Tolcsvay	Szabolcs Szorenyi	Zoltan Pasztory	D	MUSIC
1	What does a young student who is taught writing learn?	the letter plowing	spelling	the spelling	the letter casting	C	GENERAL
2	What is the title of Jiri Menzel's film? "Strictly controlled..."	wagons	airport	trains	submarine	C	MOVIE
3	Which plant is grown on plots flooded with water?	barley	corn	rice	rye	C	BIOLOGY
4	Who was the hero of Csokonai's poem who loves money more than anything else?	Pal Pato	Stingy brother	Mr. Shrink	Jano greedy	C	LITERATURE
5	Who or what did the person who was attacked on a trot fight?	with a wolf	with a roadside stand	with a wild boar	with a raiding Turkish army	A	LANGUAGE
6	Where were successful peace negotiations between Egypt and Israel in 1978?	at Camp David	in Cairo	in Paris	in Helsinki	A	HISTORY
7	Who was called an infant woman in the Spanish and Portuguese royal courts?	the king's concubines	the royal princesses	the cooks	the ladies of the court	B	HISTORY
8	From which movie was the musical made with the music of Laszlo Des?	Carousel	somewhere in Europe	The corporal and the others	A foot of land	B	MOVIE
9	Which instrument do the musicians tune to when tuning the band?	flute	violin	clarinet	oboe	D	OPERA
10	Who among the following Hungarian historical figures was the Polish king for ten years?	Gabor Bethlen	Gyorgy Rakoczi	Istvan Bathori	Istvan Bocskai	C	HISTORY
1	Which band does the primate lead?	the gypsy band	the cat band	the fire brigade	dance band	A	OPERA
2	Which animal doesn't have whiskers?	cat	catfish	seal	frog	D	BIOLOGY
3	Who is the term albino used for?	for a thin person	for an organism with skin that lacks pigment	For a person from Albania	mountain dweller	B	LANGUAGE
4	What color are most taxis in New York?	black	red	white	yellow	D	GENERAL
5	Where is a person's sense of balance located?	on the sole	in the spinal column	in the ear	in the frontal cavity	C	BIOLOGY
6	What is the price drop of stock exchange securities called?	knock	length	speak	pass	C	GENERAL
7	On the territory of which present-day country is the "seeded Deva's castle" mentioned in the folk ballad?	Ukraine	Romania	Slovakia	Croatia	B	COUNTRIES
8	Which type of American spacecraft participated in the first international space flight?	Gemini	Challenger	Mercury	Apollo	D	SCIENCE
1	What kind of cake did Kiss Manyi sing about?	chocolate	frothy	cottage cheese	nut	B	GENERAL
2	What was the name of II. suicide Japanese pilots in World War II?	hara-kiri	kamikaze	fujiyama	sushi	B	HISTORY
3	According to the title of one of his poems, what kind of "agricultural worker" will Attila Jozsef be?	tractor	winemaker	agronomist	gardener	D	LITERATURE
4	Who did the firefighters honor as their patron saint?	Saint Rocus	St. Balazs	Saint Florian	Saint George	C	RELIGION
5	In what form did Zeus abduct Europa, the Greek princess?	centaur	rain of gold	lightning	Bull	D	RELIGION
6	How to perform a piece of music with an "adaggio" tempo?	fast	slowly	lively	very strong	B	OPERA
7	What kind of pleasure does a hookah smoker indulge in?	he smokes	he smokes hookah	smokes cigarettes	smokes incense	B	GENERAL
8	Who is farewelled with the following words in world literature? "Good night, prince..."	Theseus	Don Carlos	Hamlet	Orestes	C	LITERATURE
9	Who played Superman's adversary in Richard Donner's blockbuster film?	Danny DeVito	Jack Nicholson	Gene Hackman	Christopher Walken	C	MOVIE
1	Who wanted to roast Jancsi in the well-known fairy tale?	the stepmother	the witch	Julia	the baker	B	LITERATURE
2	What are chicks?	pipe	saddle	instrument	shoemaker's tool	A	LANGUAGE
3	Complete the identity prank question! "Whose son, …?"	his guide	steer	calf	I'm sorry	C	LANGUAGE
4	What is the geometric body whose all points are equidistant from the center?	cube	sphere	rectangle	cylinder	B	SCIENCE
5	What animal is your nun?	kind of squirrel	a large beetle	wood thrush	hare cub	B	BIOLOGY
1	What does he show who reveals his true bad qualities?	the power of the fist	the length of the karma	the teeth are white	the yolk of his bile	C	LANGUAGE
2	What was the name of the inventor Rudolf Diesel?	internal combustion engine type	inflatable tire	steamship type	unicycle	A	TECHNIQUE
3	Which of the following items are made from dongas?	wooden barrel	beckon	carpet	fishing rod	A	TECHNIQUE
4	What part of the month is the month?	the beginning	the end	the middle	the first day of the crescent moon	C	GENERAL
5	Who was not part of the Horn government?	George Keleti	Ferenc Glatz	Lajos Bokros	Laszlo Kovacs	B	HISTORY
6	Antal Reguly was a distinguished representative of which discipline?	linguistics	economics	microbiology	organic chemistry	A	SCIENCE
7	What is butter made of?	from cream	from sour cream	from whey	sleeping milk	A	KITCHEN
8	According to the Bible, who led the Jewish people to the Promised Land after the death of Moses?	Joshua's	Aaron	David	Jacob	A	RELIGION
1	What does the owl say to the sparrow, according to the proverb?	that loud	that big head	that miturass	what a little topszli	B	LANGUAGE
2	Which of the following is called tulle?	wind instrument	hummingbird species	text type	women's shoes	C	LANGUAGE
3	What rose did he sing about on the 1969 LP of the band Illes?	autumn	yellow	shit	red	B	MUSIC
4	Which is not the work of Istvan Szechenyi?	Credit	World	Stage	Interest	D	HISTORY
5	Which is not the duty cycle of a four-stroke engine?	suction	compression	exhaust	mixing	D	TECHNIQUE
6	Which of the following birds is in the title of Ibsen's play?	dove	Seagull	wild duck	swan	C	LITERATURE
7	What did the term "great" mean in the old days?	exam work	processing	poor quality	cheap domestic goods	A	LANGUAGE
8	In whose novel is Philip Marlowe the detective?	Erle Stanley Gardner	Edgar Wallace	Dashiel Hammett	Raymond Chandler	D	LITERATURE
9	What did the inhabitants of medieval monasteries do in the dormitory?	they ate	they were sleeping	codex was copied	served their sentence	B	HISTORY
10	In which sport did Ferenc Csík win a gold medal at the 1936 Berlin Olympics?	athletics	swimming	boxing	wrestling	B	SPORTS
1	What submarine is in the title of the cartoon set to the music of the Beatles?	yellow	holey	green	atom	A	MUSIC
2	Who is the female protagonist of the RTL Klub Pasik series?	Rita Jonas	Antonia is strong	Judit Hernadi	Aniko Marsi	C	GENERAL
3	What does the chef cut when slicing mushrooms?	mushroom	turkey	rooster	cancer	A	KITCHEN
4	The old name of which disease is pallor?	smallpox	peptic ulcer	anemia	epilepsy	C	BIOLOGY
5	How many times the bet is the ult if one player calls subcontra?	triple	fourfold	eightfold	sixfold	C	GAME
6	Who was the Hermit of Turin?	Ferenc Deak	Lajos Kossuth	Mikes Clement	Imre Madach	B	HISTORY
7	What is the religion of the Kabyle tribes?	Buddhist	Hindu	Islamic	Persian	C	RELIGION
1	What is the title of Karinthy's well-known collection of literary parodies?	Who wrote this?	That's how you wrote it	And this is how I write	That's how I do it	B	LITERATURE
2	What does someone who plays with marionettes do?	play cards	puppets	barcoch base	dominates	B	GAME
3	What is rizibizi made of?	with beans	with peas	with potatoes	with bananas	B	KITCHEN
4	What is the currency of the United States of America?	cent	to pfennig	piastre	centime	A	COUNTRIES
5	Which dance singer sang about a bunch of bluebells?	Laszlo Aradszky	Peter Matthew	Pal Szecsi	Peter Poor	C	MUSIC
6	Which of the listed countries does not have a rectangular flag?	Morocco	Chile	Nepal	San Marino	C	COUNTRIES
7	Who was the founder of the Church of England?	VIII. Henrik	Tamas Morus	Erasmus of Rotterdam	Elizabeth I	A	HISTORY
8	Who directed the classic film The Big Picture?	Alain Resnais	Jean Renoir	Francois Truffaut	Constantin Costa-Gavras	B	MOVIE
9	Who is the youngest world chess champion of all time?	Karpov	Spassky	Kasparov	Fischer	C	SPORTS
1	What separates lovers in fairy tales? "Spade, hoe, ..."	rooster	big bell	paternal strictness	the operencia sea	B	GENERAL
2	What part of the magpie's body is a plant genus named after?	beak	foot	language	tail	B	BIOLOGY
3	What is the title of Endre Fejes' stage work: "Good evening summer, good..."	good morning, baby!	evening, love!	day, freedom!	good night, youth!	B	LITERATURE
4	On which river is the city of Baja located?	Drava	Tisza	Moros	Danube	D	GEOGRAPHY
5	What was the name of Attila the Hun's brother?	Csaba	Svatopluk	Buddha	Zeta	C	HISTORY
6	With which young ladies did Picasso paint the first major cubist work in 1907?	Seville	from Avignon	from Madrid	Parisian	B	FINE ARTS
7	Who or what was Caligula's Incitatus?	adopted son	his horse	his slave	his killer	B	HISTORY
8	What race is Horses being shot at? the movie?	at a dance competition	at a horse race	on a marathon run	in a car race	A	MOVIE
9	Which Asian country did the Khmer Rouge rule in the 1970s?	Thailand	Cambodia	Vietnam	Laos	B	HISTORY
10	What did Andersen's little mermaid give the sea witch in exchange for legs?	a lock of hair	his voice	its tail fin	his soul	B	LITERATURE
1	According to the folk song, where does the ruca spend?	field grass	deep in the forest	on the basis of poop	under the eaves	C	LITERATURE
2	Twelve what kind of people were in the title of the court film starring Henry Fonda?	defiant	song	angry	dirty	C	MOVIE
3	Which of the following is the name of a cedar species?	from Lesotho	Libyan	Lebanese	Liberian	C	BIOLOGY
4	Whose tomb is located in Eger Castle?	Istvan Tomorkeny	Geza Gardonyi	Sandor Brody	Ferenc Mora	B	LITERATURE
5	In which city is Westminster Abbey located?	Washington	Boston	London	Liverpool	C	COUNTRIES
6	What was the nationality of the medieval reformer Janos Husz?	Czech	French	Prussian	Spanish	A	HISTORY
7	In which of our mountains is the Szeleta cave located?	in Pilis	in Mecsek	in Bukk	in the Stock Exchange	C	GEOGRAPHY
8	What is the name of Peer Gynt's love?	Aase	Holle	Solvejg	Britta	C	LITERATURE
1	What is the title of a legendary film starring Vivien Leigh?	Washed away by the rain	It was swept away by the tornado	gone With the Wind	He was buried by snow	C	MOVIE
2	What animal is the name of the fake news in the newspapers?	goose	duck	goat	frog	B	GENERAL
3	Peter Geszti and Laszlo Des made a musical based on which fairy tale?	Winnie the Pooh	An endless story	Alice in Wonderland	The Jungle Book	D	MUSIC
4	Which of our organs does the electrocardiogram tell us about?	lungs	brain	stomach	heart	D	BIOLOGY
5	What is pomace brandy made of?	of peaches	from a pear	from cherries	from grapes	D	KITCHEN
6	Which singer's albums are "Mucsarnok", "Level novveremek" and "Feher bakas takarodoja"?	Tamas Berki	Tamas Czech	Gjon Delhusa	Jozsef Dinnyes	B	MUSIC
7	What is the name of the female figure representing France?	Isabella	Sophie	Marianne	Valentine	C	COUNTRIES
1	Which one does someone who wants to eat pasta ask for?	Cabbage checker	cabbage slicing	cabbage cutting cvekedlit	Cabbage and zucchini	C	KITCHEN
2	What is the name of Henrik Kemeny's famous puppet?	Warrior Henry	Laszlo Vitez	Grumpy Marci	Hard Kazmer	B	GENERAL
3	What does he collect, whose hobby is philately?	coins	stamps	cacti	medicinal teas	B	LANGUAGE
4	What are the meditation and body exercises of Indian origin called?	karate	yoga	judo	taekwondo	B	GENERAL
5	What operating principle of technical equipment did anyos Jedlik create?	transistor	dynamo	explosive engine	turbine	B	TECHNIQUE
6	In which opera is the aria beginning with "The whole world is for sale" heard?	Leoncavallo: Bayazzo	Gounod: Faust	Bizet: Carmen	Tchaikovsky: Anyegin	B	OPERA
7	The "proud castle" of Krasznahorka is located on the territory of which present-day country?	Slovakia	Ukraine	Romania	Poland	A	COUNTRIES
8	According to the opening lines of the Divine Comedy, where did Dante end up?	to a secluded lakeside	into a dark forest	to a rugged rock face	into a narrow cave	B	LITERATURE
9	Which world-famous athlete won the long jump in four consecutive Olympics?	Bob Beamon	Viktor Sanyeev	Carl Lewis	Jesse Owens	C	SPORTS
1	What do you give to someone who receives a stink bug as a gift?	badger cub	sheep's cheese	plant	spoiled cologne	C	LANGUAGE
2	Which skyscape is not currently named after a railway station in Budapest?	from the east	from the south	from the west	north	D	GENERAL
3	What is the title of Olivia Newton-John's hit musical film?	Hairspray	On Pitrat	Pomade	He's a jerk to death	C	MOVIE
4	Which celestial bodies are made of glowing gases?	the moons	the asteroids	the stars	the black holes	C	SCIENCE
5	Which plant has a pod?	tomato	maize	pea	potato	B	BIOLOGY
6	Where was Gaspar Karoli's complete Bible translation first printed?	Cash register	On Holy Saturday	In Vizsoly	Gyulafehervar	C	HISTORY
7	What is the short name of the readable and rewritable computer database?	RAM	STORE	TFT	CD-ROM	A	GENERAL
8	Who was appointed commander of the Hungarian main army in March 1849?	Lajos Kossuth	Lazarus the Butcher	Artur Gorgey	Bem Jozsefet	C	HISTORY
9	Who does Paris give Erisz's golden apple as the judge of the mythological beauty contest?	Aphrodite's	Pallas to Athena	To Hera	To Helena	A	RELIGION
10	Who scored the winning golden goal at the 2000 European Football Championship?	Henry	Wiltord	Dugarry	Trezeguel	D	SPORTS
11	Antonio de Oliveira Salazar was the dictator of which country?	Mexico	Argentina	Panama	Portugal	D	HISTORY
1	What kind of branch does the successful person fall into?	birdhouse	abundant fruit	green	ratio	C	GENERAL
2	How much is "2X2" in the title of the popular Hungarian film?	always four	sometimes five	sometimes six	one	B	MOVIE
3	What material is the lathe?	hardwood	post	calfskin	wire	B	GENERAL
4	To whom did Tatjana write her famous letter?	For Anyegin	To Pushkin	To Lenski	II. To Tsar Nicholas	A	LITERATURE
5	According to legend, which emperor set Rome on fire?	Caligula	Nero	Claudius	Tiberius	B	HISTORY
6	What is the abbreviation for the Food and Agriculture Organization of the United Nations?	WWF	FAO	UNESCO	WHO	B	GENERAL
7	Which Hungarian rock band sang about Route 67?	Pyramid	Edda	Omega	Republic	D	MUSIC
8	In which European country do they judge based on precedent law?	France	Italy	The Netherlands	Great Britain	D	COUNTRIES
9	In which club did Krisztina Egerszegi swim?	Bp. in Spartacus	Bp. Honved	in the Doge of ujpest	OTP-Sport Plus in SE	A	SPORTS
10	Which of the following is characteristic of a person suffering from arachnophobia?	from the birds	from the height	from spiders	from closed spaces	C	LANGUAGE
11	Where is the Sea of Perils?	At Cape Horn	Between Borneo and Sumatra	At the Hebrides	On the moon	D	GEOGRAPHY
1	According to the saying, what does someone who gives something up throw in?	the bet	the towel	the key	the hatchet	B	LANGUAGE
2	Which of the following was called an ornamental Hungarian?	the noble diploma	the parliamentary representative	the noble dress	the mayor of the county	C	GENERAL
3	Where did the adventurous seek Eldorado, famous for its fabulous wealth?	In Alaska	in India	in South America	In inner Africa	C	HISTORY
4	What day of the week did Rezs Seress write a "sad" song in the 1930s?	about Saturday	about Sunday	about Monday	from Wednesday	B	MUSIC
5	Where did Attila Jozsef die?	in Balatonfured	in Balatonszabadi	Balatonszeplakon	Balatonszarszon	D	LITERATURE
6	Who was the legendary wife of King Arthur?	Isolde	To Guinevere	Freya	Brunnhilda	B	HISTORY
7	Szvatopluk, known from legends, was the leader of which nation?	fall in	Bulgarian	Khazar	Moravian	D	HISTORY
8	Who wrote the opera about Salome?	Verdi	Wagner	Richard Strauss	Rimsky-Korsakov	C	OPERA
9	In which castle can you see the Red Tower?	in the Sarospatak castle	in the castle of Siklos	in the castle of Eger	in Buda Castle	A	HUNGARY
10	Who hasn't won an Oscar for best director?	Alfred Hitchcock	Victor Fleming	Billy Wilder	Milos Forman	A	MOVIE
11	Who among the following was the famous writer George Sand's known lover?	Frederic Chopin	Jr. Alexandre Dumas	Victor Hugo	Hector Berlioz	A	LITERATURE
12	Which country does ice hockey originate from?	From Sweden	from the United States	From Canada	From Finland	C	SPORTS
1	According to the saying, what does he build on something uncertain?	to water	on glass	on sand	on paper	C	LANGUAGE
2	What is Pinocchio made of?	made of steel	of rags	made of wood	of bronze	C	LITERATURE
3	The Securitate was the infamous secret service of which country?	Bulgaria	Romania	Albania	GDR	B	HISTORY
4	What is the game called tarokk played with?	with a card	with dice	with dominoes	with a chess piece	A	GAME
5	Mussorgsky wrote an opera about which Russian tsar?	About Peter the Great	About Boris Godunov	About Miklos I	She was terrified of Ivan	B	OPERA
6	Which of the following counties does not border Lake Balaton?	Fejer county	Somogy County	Zala county	Veszprem County	A	GEOGRAPHY
1	What is the name of a type of food?	blown off	blew out	blown away	inflated	D	KITCHEN
2	How many are the wicked, according to the saying?	seven	ten	twelve	forty of us	A	LANGUAGE
3	Which sports are contested in Pashtun?	wrestling	fencing	boxing	judo	B	SPORTS
4	Which of the following is associated with Louis Braille's name?	the electrocardiograph	Braille writing	the great french revolution	the Internet	B	GENERAL
5	Tibet is located on the territory of which present-day state?	China	Mongolia	India	Cambodia	A	COUNTRIES
6	Who is the quote from? "Now I'm dreaming of colored inks..."	Beautiful Ern	Jen Heltai	Dezs Kosztolanyi	Zoltan Zelk	C	LITERATURE
7	What did the soldiers call kepi?	payroll	shirt	bayonet	his cap	D	LANGUAGE
8	Which word is spelled incorrectly?	rolling hills	taste-moves	very little	it's exciting	C	LANGUAGE
9	Who wrote the three symphonic sketches entitled "The Sea"?	Saint-Saens	Debussy	Ravel	Berlioz	B	OPERA
1	What does a mustache look like?	he's a jackass	cheesy	he's crazy	bagel stalker	B	GENERAL
2	What is the end of the saying no?	whine	whining	groan	preoccupation	C	LANGUAGE
3	What kind of bird statue were they looking for in the crime film based on Dashiel Hammett's novel?	Danish griffon vulture	Maltese Falcon	Cretan albatross	Kenyan cockatoo	B	MOVIE
4	What old Hungarian unit of measure was the rf?	volume unit	measure of length	area measure	mass unit	B	GENERAL
5	In what language was the life work of Janus Pannonius written?	in German	in Latin	in Greek	in Hungarian	B	LITERATURE
6	What does the word cívis mean in the expression cívisvaros?	field	fair	citizen	faithful	C	LANGUAGE
7	Saint Petersburg is located at the mouth of which river?	Lena	Name	Volga	Jenyiszej	B	GEOGRAPHY
8	Which one was called a wine watcher in the Middle Ages?	the inspector of the wine measurement	the hoofed knights	the pub	the wine barrel	A	LANGUAGE
9	Which movie did Marlon Brando not star in?	Tram of desire	Lion cubs	Superman	Batman	D	MOVIE
10	Where were the second modern Olympic Games held?	Amsterdam	London	St. Louis	Paris	D	SPORTS
1	What does Snow White's stepmother ask the mirror?	What does the glass one look like?	Are the crow's feet visible?	Should I use foundation?	Who is the most beautiful in the countryside?	D	LITERATURE
2	What is the muff used to keep warm?	foot	hand	ear	nose	B	GENERAL
3	Whose portrait can be seen on the new 20,000 banknote?	Lajos Kossuth	Ferenc Deak	Ferenc Kolcsey	St. Stephen	B	GENERAL
4	Which ruined castle did Ferenc Kolcsey write immortal lines about?	It's gross	Szendr	Hust	Gliding	C	LITERATURE
5	Who was the American continent named after?	about a Spanish sailor	about a viking sailor	about an English shipbuilder	about an Italian explorer	D	HISTORY
6	Which word is both the name of a candy and the name of a plant?	zinkapanna	badger castle	boob wine	freckle barbie	B	LANGUAGE
7	Who received the most Hungarian Olympic gold medals?	Aladar Gerevich	Rudolph of Carpathia	Pal Kovacs	Krisztina Egerszeg	A	SPORTS
8	The Treaty of Verdun in 843 was an important stage in the disintegration of which empire?	Roman Empire	Frankish Empire	Hun Empire	Avar Empire	B	HISTORY
9	Where is the lamp museum in Hungary?	Moorish	Dad	Szambek	Sopron	C	HUNGARY
10	Why are the two protagonists of the movie Gentle Bikers arrested?	for speeding	for public alcohol consumption	for drug use	for marching without permission	D	MOVIE
1	According to the saying, what broke the one who bursts into tears?	the base of the rose	the candlestick	the horseshoe	the cardan shaft	B	LANGUAGE
2	Why are the "looters" in the title of Steven Spielberg's film?	the sunken Atlantis	the lost city of gold	Manhattan	the lost ark	D	MOVIE
3	What is not needed to make Wiener schnitzel?	for eggs	on breadcrumbs	on semolina	to flour	C	KITCHEN
4	Who won the Formula 1 world championship in 2000?	David Coulthard	Mika Hakkinen	Ralf Schumacher	Michael Schumacher	D	SPORTS
5	Which ministerial portfolio did you receive in 1998?	family matter	a matter of justice	internal affairs	healthcare	B	HISTORY
6	What is the first element of the periodic table?	helium	hydrogen	Skin	oxygen	B	SCIENCE
7	Thor Heyerdahl attempted to cross the Atlantic Ocean on what boat was he made of?	bamboo	ebony	papyrus	corkwood	C	HISTORY
8	What is the commonly known abbreviation of the Social Democratic Party of Germany?	SPD	FDP	CDU	NDPD	A	HISTORY
9	Which of the following Verdi operas is not based on a Shakespeare play?	Othello	Macbeth	Don Carlos	Falstaff	C	OPERA
10	Which of our great travelers wrote the etymological dictionary of the Turkish-Tatar languages?	armin Vambery	Oops Ferenc	Sandor Csoma Krosi	Gyula Germanus	A	LANGUAGE
11	Which country's national team won the Sydney Olympics football tournament?	Chile	Cameroon	Spain	Nigeria	B	SPORTS
12	Which ancient Greek philosopher was the tutor of Alexander the Great of Macedonia?	Archimedes	Plato	Aristotle	Diogenes	C	HISTORY
13	Who didn't play the role of Fletcher Christian in the film adaptations of the novel The Bounty?	Clark Gable	James Stewart	Marlon Brando	Mel Gibson	B	MOVIE
14	Which of the following plants is deciduous?	cedar of Lebanon	larch	Douglas fir	atlas cedar	B	BIOLOGY
1	What is the name of the prisoner transport car?	police car	slave mobile	outlaw moped	prisoner hero	B	GENERAL
2	What is the heart of someone who is insensitive?	of iron	made of wood	of bone	of stone	D	LANGUAGE
3	Which word refers to a type of radish?	glacial acetic acid	ice groats	icicle	fire hydrant	C	KITCHEN
4	What is its colloquial name?	grammar	rhetoric	esoterica	gymnastics	B	LANGUAGE
5	With what title did Neil Simon not write a play?	Barefoot in the park	An odd couple	The Sunbeam boys	The minister steps aside	D	LITERATURE
6	What is the fat hat made of?	straw	calfskin	post	rabbit fur	A	GENERAL
1	Which is an agricultural harvest job?	oat tipping	carrot crushing	melon punching	breaking corn	D	GENERAL
2	What is the nickname of our professional boxer Istvan Kovacs?	Boxer	Goldsmith	Lightning Fist	Koko	D	SPORTS
3	Which raw material cannot be made without?	cottage cheese	sausage	tomato	carrot	A	KITCHEN
4	Whose work was Attila Dargay's cartoon Ludas Matyi based on?	Sandor Petofi	Golden John	Mihaly Vitez Csokonai	Mihaly Fezekas	D	LITERATURE
5	In which city is Puccini's opera Bohemelet set?	in Rome	in Newyork	In Venice	in Paris	D	OPERA
6	On whose donation was the National Museum founded?	Ferenc Kazinczy	Ignac Martinovics	Ferenc Szechenyi	Istvan Szechenyi	C	HISTORY
7	Who is the English poet who lost his life in the Greek War of Independence?	Byron	Shelley	Milton	Coleridge	A	HISTORY
8	In which rock band did akos start his singing career?	Amok runners	Bonanza Banzai	Animal Cannibals	First floor	B	MUSIC
9	Who was the politician who declared the independence of Bangladesh in 1971?	Deszai Morardzi	Ziaur Rahman	Mahmoud Ullah	Mujibur Rahman	D	HISTORY
10	What nationality referee blew the whistle in the 2000 European Football Championship final?	Danish	Scotsman	Swedish	Austrian	C	SPORTS
1	What is the name of a chess move?	camel trotting	horse jumping	cut a pig	snail's pace	B	GAME
2	What is amethyst?	military rank	semi-precious stone	percussion instrument	type of textile	B	LANGUAGE
3	According to the Hungarian folk song, which bird flew to the county house?	gerle	thrush	peacock	Falcon	C	LITERATURE
4	Which of our great poets was the love of Adel Brull?	Attila Jozsef	Mihaly Babits	Dezs Kosztolanyi	Endre Ady	D	LITERATURE
5	Who among the following artists is not an opera singer?	Janos Berkes	Jozsef Gregor	Sandor Szokolay	Denes Gulyas	C	OPERA
