Nehezseg	Kerdes	A	B	C	D	Valasz	Kategoria
2	Mit arat a mondas szerint, aki szelet vet?	szellot	zivatart	zaporesot	vihart	D	NYELV
3	Milyen cipoben jar a "magas szoke ferfi" a vigjatek cime szerint?	kigyobor	kitaposott	felemas	ludtalpbetetes	C	FILM
4	Melyik ruhadarab neve jeloli a gombak egyik csaladjat?	kodmon	kucsma	kapca	csako	B	BIOLoGIA
5	Melyik magyar futballistat neveztek "Szoke Sziklanak"?	Garaba Imret	Szoke Istvant	Meszoly Kalmant	Varga Zoltant	C	SPORT
6	Hogy hivjak Hollandia kiralynojet?	Margit	Beatrix	Erzsebet	Krisztina	B	ToRTeNELEM
7	Melyik magyar matematikus tekintheto a jatekelmelet egyik megalapozojanak?	Rubik Erno	Neumann Janos	Bolyai Janos	Bolyai Farkas	B	TUDOMaNY
8	Mi a cime Pasolini Jezus eleterol keszitett filmjenek?	Mark evangeliuma	Lukacs evangeliuma	Janos evangeliuma	Mate evangeliuma	D	FILM
9	Melyik allitas nem igaz a pelefelekre?	ejszakai eletet elnek	nemelyik teli almot alszik	ragadozok	a farkuk bozontos	C	BIOLoGIA
1	Melyik "alma" egy noveny neve?	gradics	granat	gebics	gubacs	B	BIOLoGIA
2	Ki Hacsek tarsa a kozismert kabarejelenetekben?	Sio	Sajo	Taszilo	Macsek	B	aLTALaNOS
3	Melyik varos nevezetes diaknegyede a Quartier Latin?	Parizs	Bologna	London	Heidelberg	A	ORSZaGOK
4	A magyar kartya melyik aszan lathato a nyar szimboluma?	piros	makk	zold	tok	D	JaTeK
1	Mi lesz a rut kiskacsabol Andersen mesejeben?	pulyka	hattyu	strucc	rut nagykacsa	B	IRODALOM
2	Hol hordtak a ferfiak a fuszeklit?	a fulukben	a labukon	az ovukon	a kezukon	B	aLTALaNOS
3	Hogy keszul a bagett?	sutik	varrjak	faragjak	kovacsoljak	A	aLTALaNOS
4	Melyik irodalmi hos kot szerzodest Mephistoval?	Phaedra	Faust	Rastignac	Raszkolnyikov	B	IRODALOM
5	Ki irt konyvet a fajok eredeterol?	Sigmund Freud	Laszlo Gyula	Ivan Petrovics Pavlov	Charles Darwin	D	BIOLoGIA
6	Mi a bences szerzetesrend jelmondata?	Parizs meger egy miset!	Ora et labora!	Kelj fel es jarj!	Carpe diem!	B	VALLaS
7	Hany allando tagja van az ENSZ Biztonsagi Tanacsanak?	4	5	7	9	B	aLTALaNOS
8	Hol keszult az elso remfilm Godzillarol?	Kinaban	Indiaban	Japanban	Franciaorszagban	C	FILM
9	Ki irta a Bucsu-szimfoniat?	Beethoven	Haydn	Schubert	Mendelssohn	B	OPERA
1	Melyik allatokrol neveztek el egy szakalltipust?	bagoly	kecske	oroszlan	foka	B	aLTALaNOS
2	Kirol enekelt a Pa-Do-Do egyuttes 1994-es albuman?	Szabo Janosrol	Toth Lajosrol	Kovacs Jozsefrol	Kiss Belarol	A	ZENE
3	Melyik film cselekmenye nem az okorban jatszodik?	Kleopatra	Ben Hur	Dekameron	Spartacus	C	FILM
4	Mire hasznaltak elodeink a cvikkert?	fozesre	vilagitasra	latasjavitasra	gyogyszerkent	C	aLTALaNOS
5	Melyik orszagban jatszodik a "Hegedus a hazteton" cimu musical?	Oroszorszagban	Franciaorszagban	Izraelben	Lengyelorszagban	A	ZENE
6	Ki az a holgy, akibe Cyrano szerelmes Rostand muveben?	Virginie	Roxane	Charlotte	Brigitte	B	IRODALOM
7	Az alabbiak kozul melyik a szarvasmarha kozeli rokona?	emu	zebu	tatu	nandu	B	BIOLoGIA
8	Ki epitette a hires spanyol kiralyi palotat, az Escorialt?	Aragoniai Ferdinand	Kasztiliai Izabella	V. Karoly	II. Fulop	D	ToRTeNELEM
1	Melyik egy levesteszta elnevezese?	csiperke	csicsoka	csipetke	csuporka	C	KONYHA
2	Melyik allat "teje" novenynev?	kakas	hal	vereb	kutya	D	BIOLoGIA
3	Melyik kozuti jelzotabla nem kor alaku?	"Korforgalom"	"Elsobbsegadas kotelezo"	"Behajtani tilos"	"Megallni tilos"	B	aLTALaNOS
4	"Az angol, aki dombra ment fel, …" Hogy folytatodik Hugh Grant filmjenek cime?	es ott ragadt	de labat torte	de hegyrol jott le	es megnosult	C	FILM
5	Melyik varosban talalhato a szinhazairol hires Broadway?	Los Angeles	San Francisco	New York	Boston	C	ORSZaGOK
6	Melyik kiralyunk viseli a "kun" jelzot?	II. Bela	III. Andras	IV. Laszlo	II. Istvan	C	ToRTeNELEM
7	Melyik kepzeletbeli hos Kosztolanyi Dezso szulotte?	egeto Eszter	Krisztyan Todor	Esti Kornel	Rezeda Kazmer	C	IRODALOM
8	Melyik egyuttes enekelt a 70-es evekben Raszputyinrol?	ABBA	Dschingis Khan	Boney M.	Blondie	C	ZENE
1	Mit neveznek folyondarnak?	folyami dandart	a melegviz arat	kuszonovenyt	cipeszszerszamot	C	NYELV
2	Milyen szel araszt vizet a nepdal szerint?	oszi	viharos	tavaszi	eszaki	C	IRODALOM
3	Az alabbiak kozul melyikre hasznaljak a pauszpapirt?	kodexek irasara	hazfalak szigetelesere	diszcsomagolasra	tervrajzok keszitesere	D	aLTALaNOS
4	Mit csinal a szakacs a hussal, amikor irdalja?	pacolja	ledaralja	bevagdalja	bundazza	C	KONYHA
5	Mit jelent a rekviem zenei kifejezes?	bordal	gyaszmise	kozepkori diakenek	husveti kortanc	B	OPERA
6	Melyik part nyerte meg az 1945-os orszaggyulesi valasztasokat Magyarorszagon?	Fuggetlen Kisgazdapart	Magyar Kommunista Part	Szocialdemokrata Part	Nemzeti Parasztpart	A	ToRTeNELEM
7	Ki nem volt tagja a Fonograf egyuttesnek?	Moricz Mihaly	Tolcsvay Laszlo	Szorenyi Szabolcs	Pasztory Zoltan	D	ZENE
1	Mit tanul a kisdiak, akinek az irast oktatjak?	a betuszantast	a betuszedest	a betuvetest	a betuontest	C	aLTALaNOS
2	Mi a cime Jiri Menzel filmjenek? "Szigoruan ellenorzott …"	vagonok	repuloter	vonatok	tengeralattjaro	C	FILM
3	Melyik novenyt termesztik vizzel elarasztott parcellakon is?	arpat	kukoricat	rizst	rozst	C	BIOLoGIA
4	Ki volt Csokonai versenek a penzt mindennel jobban szereto hose?	Pato Pal	Fosveny batya	Zsugori uram	Kapzsi Jano	C	IRODALOM
5	Kivel vagy mivel kuzdott meg az a szemely, akire ratamadt egy toportyan?	egy farkassal	egy utonalloval	egy vaddisznoval	egy portyazo torok sereggel	A	NYELV
6	Hol folytak eredmenyes beketargyalasok Egyiptom es Izrael kozott 1978-ban?	Camp Davidben	Kairoban	Parizsban	Helsinkiben	A	ToRTeNELEM
7	Kit neveztek a spanyol es a portugal kiralyi udvarban infansnonek?	a kiraly agyasait	a kiralyi hercegnoket	a szakacsnoket	az udvarholgyeket	B	ToRTeNELEM
8	Melyik filmbol keszult musical Des Laszlo zenejevel?	Korhinta	Valahol Europaban	A tizedes meg a tobbiek	Talpalattnyi fold	B	FILM
9	Melyik hangszerhez igazodnak a zeneszek a zenekar hangolasakor?	fuvola	hegedu	klarinet	oboa	D	OPERA
10	Ki volt tiz even at lengyel kiraly az alabbi magyar tortenelmi szemelyek kozul?	Bethlen Gabor	Rakoczi Gyorgy	Bathori Istvan	Bocskai Istvan	C	ToRTeNELEM
1	Melyik zenekart vezeti a primas?	a ciganyzenekart	a macskazenekart	a tuzoltozenekart	tanczenekart	A	OPERA
2	Melyik allatnak nincs bajsza?	macska	harcsa	foka	beka	D	BIOLoGIA
3	Kire hasznaljak az albino kifejezest?	sovany emberre	festekhianyos boru elolenyre	Albaniabol szarmazo emberre	hegylakora	B	NYELV
4	Milyen szinu a legtobb taxi New Yorkban?	fekete	piros	feher	sarga	D	aLTALaNOS
5	Hol talalhato az ember egyensulyerzo szerve?	a talpon	a gerincoszlopban	a fulben	a homlokuregben	C	BIOLoGIA
6	Hogyan nevezik a tozsdei papirok arfolyameseset?	kopp	hossz	bessz	passz	C	aLTALaNOS
7	Melyik mai orszag teruleten talalhato a nepballadaban is szereplo "magos Deva vara"?	Ukrajna	Romania	Szlovakia	Horvatorszag	B	ORSZaGOK
8	Melyik amerikai urhajotipus vett reszt az elso nemzetkozi urrepulesben?	Gemini	Challenger	Mercury	Apollo	D	TUDOMaNY
1	Milyen sutemenyrol enekelt Kiss Manyi?	csokis	habos	turos	dios	B	aLTALaNOS
2	Hogyan neveztek a II. vilaghaboruban az ongyilkos japan pilotakat?	harakiri	kamikaze	fujijama	sushi	B	ToRTeNELEM
3	Milyen "mezogazdasagi dolgozo" lesz Jozsef Attila, egyik versenek cime szerint?	traktoros	borasz	agronomus	kertesz	D	IRODALOM
4	Kit tiszteltek a tuzoltok vedoszentjukkent?	Szent Rokust	Szent Balazst	Szent Floriant	Szent Gyorgyot	C	VALLaS
5	Milyen alakban rabolta el Zeusz Europat, a gorog kiralylanyt?	kentaur	aranyeso	villam	bika	D	VALLaS
6	Hogyan adjunk elo egy "adaggio" tempojelzesu zenedarabot?	gyorsan	lassan	elenken	nagyon erosen	B	OPERA
7	Milyen elvezetnek hodol, aki nargilet sziv?	szivarozik	vizipipazik	cigerettazik	tomjent fustol	B	aLTALaNOS
8	Kit bucsuztatnak a kovetkezo szavakkal a vilagirodalomban? "Jo ejt, kiralyfi …"	Theszeuszt	Don Carlost	Hamletet	Oreszteszt	C	IRODALOM
9	Ki jatszotta Superman ellenfelet Richard Donner nagy sikeru filmjeben?	Danny De Vito	Jack Nicholson	Gene Hackman	Christopher Walken	C	FILM
1	Ki akarta megsutni Jancsit az ismert meseben?	a mostoha	a boszorkany	Juliska	a pek	B	IRODALOM
2	Mi a csibuk?	pipa	nyereg	hangszer	cipesz szerszam	A	NYELV
3	Egeszitse ki a szemelyazonossagra vonatkozo trefas kerdest! "Ki fia, …?"	gidaja	tinoja	borja	bocsa	C	NYELV
4	Melyik az a mertani test, amelynek minden pontja egyenlo tavolsagra van a kozepponttol?	kocka	gomb	teglatest	henger	B	TUDOMaNY
5	Milyen allat a nunuke?	mokusfele	nagy testu bogar	erdei rigo	mezei nyul kicsinye	B	BIOLoGIA
1	Mijet mutatja ki, aki felfedi valodi rossz tulajdonsagait?	az okle erejet	a karma hosszat	a foga feheret	az epeje sargajat	C	NYELV
2	Mit neveztek el Rudolf Diesel feltalalorol?	belsoegesu motorfajtat	felfujhato gumiabroncsot	gozhajotipust	egykereku biciklit	A	TECHNIKA
3	Az alabbi targyak kozul melyiket keszitik dongakbol?	fahordot	bekecset	szonyeget	horgaszbotot	A	TECHNIKA
4	A honap melyik resze a honap idusa?	az eleje	a vege	a kozepe	a holdsarlo elso napja	C	aLTALaNOS
5	Ki nem volt tagja a Horn-kormanynak?	Keleti Gyorgy	Glatz Ferenc	Bokros Lajos	Kovacs Laszlo	B	ToRTeNELEM
6	Mely tudomanyag jeles kepviseloje volt Reguly Antal?	nyelveszet	kozgazdasagtan	mikrobiologia	szerves kemia	A	TUDOMaNY
7	Mibol keszul a vaj?	tejszinbol	tejfolbol	savobol	aludttej	A	KONYHA
8	A Biblia szerint ki vezette a zsido nepet az igeret foldjere Mozes halala utan?	Jozsue	aron	David	Jakob	A	VALLaS
1	Mit mond a bagoly a verebnek a kozmondas szerint?	hogy nagyhangu	hogy nagyfeju	hogy mitugrasz	hogy kis topszli	B	NYELV
2	Az alabbiak kozul melyiket nevezik tullnek?	fuvos hangszert	kolibrifajtat	szovegfajtat	noi cipot	C	NYELV
3	Milyen rozsarol enekelt az Illes egyuttes 1969-es nagylemezen?	oszi	sarga	bazsa	voros	B	ZENE
4	Melyik nem Szechenyi Istvan muve?	Hitel	Vilag	Stadium	Kamat	D	ToRTeNELEM
5	Melyik nem a negyutemu motor munkauteme?	szivas	surites	kipufogas	keveres	D	TECHNIKA
6	Melyik madar szerepel Ibsen dramajanak cimeben az alabbiak kozul?	galamb	siraly	vadkacsa	hattyu	C	IRODALOM
7	Mit jelentett regen a "remek" kifejezes?	vizsgamunkat	feldolgozast	silany minoseget	olcso hazai arut	A	NYELV
8	Kinek a regenyeben szerepel Philip Marlowe, a detektiv?	Erle Stanley Gardner	Edgar Wallace	Dashiel Hammet	Raymond Chandler	D	IRODALOM
9	Mit csinaltak a kozepkori kolostorok lakoi a dormitoriumban?	etkeztek	aludtak	kodexet masoltak	buntetesuket toltottek	B	ToRTeNELEM
10	Melyik sportagban szerzett aranyermet Csik Ferenc az 1936-os berlini olimpian?	atletika	uszas	okolvivas	birkozas	B	SPORT
1	Milyen tengeralattjaro szerepel a Beatles egyuttes zenejere keszult rajzfilm cimeben?	sarga	lyukas	zold	atom	A	ZENE
2	Ki a noi foszereploje az RTL Klub Pasik cimu sorozatanak?	Jonas Rita	Eros Antonia	Hernadi Judit	Marsi Aniko	C	aLTALaNOS
3	Mit darabol a szakacs, amikor sampinyont szeletel?	gombat	pulykat	kakast	rakot	A	KONYHA
4	Melyik betegseg regies elnevezese a sapkor?	himlo	gyomorfekely	verszegenyseg	epilepszia	C	BIOLoGIA
5	Hanyszoros tetert folyik az ulti, ha az egyik jatekos szubkontrat mond?	haromszoros	negyszeres	nyolcszoros	hatszoros	C	JaTeK
6	Ki volt a turini remete?	Deak Ferenc	Kossuth Lajos	Mikes Kelemen	Madach Imre	B	ToRTeNELEM
7	Milyen vallasuak a kabil torzsek?	buddhista	hindu	iszlam	parszi	C	VALLaS
1	Mi a cime Karinthy ismert irodalmi parodiagyujtemenyenek?	Ezt meg ki irta?	igy irtok ti	en pedig igy irok	igy irtok en	B	IRODALOM
2	Mit csinal, aki marionettel jatszik?	kartyazik	babozik	barkochbazik	dominozik	B	JaTeK
3	Mivel keszul a rizibizi?	babbal	borsoval	burgonyaval	banannal	B	KONYHA
4	Melyik az Amerikai Egyesult allamok fizetoeszkoze?	cent	pfennig	piaszter	centime	A	ORSZaGOK
5	Melyik tancdalenekes dalolt egy szal harangviragrol?	Aradszky Laszlo	Mate Peter	Szecsi Pal	Poor Peter	C	ZENE
6	A felsorolt orszagok kozul melyik zaszlaja nem negyszogletes?	Marokko	Chile	Nepal	San Marino	C	ORSZaGOK
7	Ki volt az anglikan egyhaz alapitoja?	VIII. Henrik	Morus Tamas	Rotterdami Erasmus	I. Erzsebet	A	ToRTeNELEM
8	Ki rendezte A nagy abrand cimu klasszikus filmet?	Alain Resnais	Jean Renoir	Francois Truffaut	Constantin Costa-Gavras	B	FILM
9	Ki minden idok legfiatalabb sakkvilagbajnoka?	Karpov	Szpasszkij	Kaszparov	Fischer	C	SPORT
1	Mi valasztja el a szerelmeseket a mesekben? "aso, kapa, …"	kakasszo	nagyharang	atyai szigor	az operencias tenger	B	aLTALaNOS
2	A szarka melyik testreszerol kapta nevet egy novenynemzetseg?	csor	lab	nyelv	farok	B	BIOLoGIA
3	Mi a cime Fejes Endre szinpadi muvenek: "Jo estet nyar, jo …"	reggelt, bubanat!	estet, szerelem!	napot, szabadsag!	ejszakat, ifjusag!	B	IRODALOM
4	Melyik folyo partjan fekszik Baja varosa?	Drava	Tisza	Maros	Duna	D	FoLDRAJZ
5	Mi volt a neve Attila hun vezer testverenek?	Csaba	Szvatopluk	Buda	Zeta	C	ToRTeNELEM
6	Milyen kisasszonyok cimmel festette meg Picasso 1907-ben az elso jelentos kubista alkotast?	sevillai	avignoni	madridi	parizsi	B	KePZoMuVeSZET
7	Kije vagy mije volt Caligulanak Incitatus?	fogadott fia	lova	rabszolgaja	gyilkosa	B	ToRTeNELEM
8	Milyen versenyen jatszodik A lovakat lelovik, ugye? cimu film?	tancversenyen	loversenyen	maratoni futason	autoversenyen	A	FILM
9	Melyik azsiai orszagot tartottak uralmuk alatt a voros khmerek az 1970-es evekben?	Thaifold	Kambodzsa	Vietnam	Laosz	B	ToRTeNELEM
10	Mit adott Andersen kis hableanya a tengeri boszorkanynak a labakert cserebe?	egy hajtincset	a hangjat	a farokuszojat	a lelket	B	IRODALOM
1	Hol kolt a ruca a nepdal szerint?	mezo fuven	erdo melyen	kaka toven	eresz alatt	C	IRODALOM
2	Tizenket milyen ember szerepelt a Henry Fonda foszereplesevel keszult birosagi film cimeben?	dacos	dalos	duhos	piszkos	C	FILM
3	Az alabbiak kozul melyik egy cedrusfaj neve?	lesothoi	libiai	libanoni	liberiai	C	BIOLoGIA
4	Kinek a siremleke talalhato az egri varban?	Tomorkeny Istvan	Gardonyi Geza	Brody Sandor	Mora Ferenc	B	IRODALOM
5	Melyik varosban all a Westminster-apatsag?	Washington	Boston	London	Liverpool	C	ORSZaGOK
6	Milyen nemzetisegu volt a kozepkori reformer, Husz Janos?	cseh	francia	porosz	spanyol	A	ToRTeNELEM
7	Melyik hegysegunkben talalhato a Szeleta-barlang?	a Pilisben	a Mecsekben	a Bukkben	a Borzsonyben	C	FoLDRAJZ
8	Mi a neve Peer Gynt szerelmenek?	Aase	Holle	Solvejg	Britta	C	IRODALOM
1	Melyik egy Vivien Leigh foszereplesevel keszult legendas film cime?	Elmosta az eso	Elsoporte a tornado	Elfujta a szel	Betemette a ho	C	FILM
2	Milyen allat nevet viselik a hirlapokban felroppentett alhirek?	liba	kacsa	kecske	beka	B	aLTALaNOS
3	Melyik meseregenybol keszitett musicalt Geszti Peter es Des Laszlo?	Micimacko	Vegtelen tortenet	Alice csodaorszagban	A dzsungel konyve	D	ZENE
4	Melyik szervunk mukodeserol tajekoztat az elektrokardiogram?	tudo	agy	gyomor	sziv	D	BIOLoGIA
5	Mibol keszul a torkolypalinka?	barackbol	kortebol	meggybol	szolobol	D	KONYHA
6	Melyik dalenekes lemezei a "Mucsarnok", a "Level noveremnek" es a "Feher babak takarodoja"?	Berki Tamas	Cseh Tamas	Delhusa Gjon	Dinnyes Jozsef	B	ZENE
7	Mi a neve a Franciaorszagot jelkepezo noalaknak?	Isabelle	Sophie	Marianne	Valentine	C	ORSZaGOK
1	Melyiket keri, aki tesztat kivan enni?	kaposztas cekkert	kaposztas cvikkert	kaposztas cvekedlit	kaposztas cukkinit	C	KONYHA
2	Mi a neve Kemeny Henrik hires babfigurajanak?	Harcos Henrik	Vitez Laszlo	Morcos Marci	Kemeny Kazmer	B	aLTALaNOS
3	Mit gyujt, akinek a filatelia a hobbija?	penzermeket	belyegeket	kaktuszokat	gyogyteakat	B	NYELV
4	Hogy nevezik az indiai eredetu meditacios es testgyakorlatokat?	karate	joga	dzsudo	tekvando	B	aLTALaNOS
5	Milyen muszaki berendezes mukodesi elvet alkotta meg Jedlik anyos?	tranzisztor	dinamo	robbanomotor	turbina	B	TECHNIKA
6	Melyik operaban csendul fel az "Elado az egesz vilag" kezdetu aria?	Leoncavallo: Bajazzok	Gounod: Faust	Bizet: Carmen	Csajkovszkij: Anyegin	B	OPERA
7	Melyik mai orszag teruleten talalhato Krasznahorka "buszke vara"?	Szlovakia	Ukrajna	Romania	Lengyelorszag	A	ORSZaGOK
8	Hova jutott Dante az Isteni szinjatek kezdosorai szerint?	egy kies topartra	egy sotet erdobe	egy zord sziklafalhoz	egy szuk barlangba	B	IRODALOM
9	Melyik vilaghiru atleta nyerte meg a tavolugras negy egymast koveto olimpian?	Bob Beamon	Viktor Szanyejev	Carl Lewis	Jesse Owens	C	SPORT
1	Mit adnak annak, aki budosket kap ajandekba?	borzkolykot	juhsajtot	novenyt	romlott kolnit	C	NYELV
2	Melyik egtajrol nincs elnevezve jelenleg palyaudvar Budapesten?	keletrol	delrol	nyugatrol	eszakrol	D	aLTALaNOS
3	Mi a cime Olivia Newton-John nagy sikeru zenes filmjenek?	Hajlakk	Pitraton	Pomade	Mindhalalig tupir	C	FILM
4	Mely egitestek allnak izzo gazokbol?	a holdak	a kisbolygok	a csillagok	a fekete lyukak	C	TUDOMaNY
5	Mely novenynek van csuheja?	paradicsom	kukorica	borso	burgonya	B	BIOLoGIA
6	Hol nyomtattak ki eloszor Karoli Gaspar teljes bibliaforditasat?	Kassan	Nagyszombatban	Vizsolyban	Gyulafehervaron	C	ToRTeNELEM
7	Hogy nevezik roviden az olvashato es atirhato szamitogepes adattarat?	RAM	STORE	TFT	CD-ROM	A	aLTALaNOS
8	Kit neveztek ki a magyar fosereg parancsnokava 1849 marciusaban?	Kossuth Lajost	Meszaros Lazart	Gorgey Arturt	Bem Jozsefet	C	ToRTeNELEM
9	Kinek adja Parisz Erisz aranyalmajat a mitologiai szepsegverseny birajakent?	Aphroditenek	Pallasz Athenenek	Heranak	Helenanak	A	VALLaS
10	Ki lotte a gyozelmet jelento aranygolt a 2000. evi futball Europa Bajnoksagon?	Henry	Wiltord	Dugarry	Trezeguel	D	SPORT
11	Melyik orszag diktatora volt Antonio de Oliveira Salazar?	Mexiko	Argentina	Panama	Portugalia	D	ToRTeNELEM
1	Milyen agra vergodik az elboldogulo ember?	madarlakta	boven termo	zold	arany	C	aLTALaNOS
2	Mennyi "2X2" a nepszeru magyar film cime szerint?	mindig negy	neha ot	neha hat	egy	B	FILM
3	Milyen anyag a daroc?	kemenyfa	poszto	borjubor	drot	B	aLTALaNOS
4	Kinek irta Tatjana hires levelet?	Anyeginnek	Puskinnak	Lenszkijnek	II. Miklos carnak	A	IRODALOM
5	A legenda szerint melyik csaszar gyujtotta fel Romat?	Caligula	Nero	Claudius	Tiberius	B	ToRTeNELEM
6	Mi a roviditese az ENSZ elelmezesi es mezogazdasagi szervezetenek?	WWF	FAO	UNESCO	WHO	B	aLTALaNOS
7	Melyik magyar rockegyuttes enekelt a 67-es utrol?	Piramis	Edda	Omega	Republic	D	ZENE
8	Melyik europai orszagban itelkeznek precedensjog alapjan?	Franciaorszag	Olaszorszag	Hollandia	Nagy-Britannia	D	ORSZaGOK
9	Melyik egyesuletben uszott Egerszegi Krisztina?	Bp. Spartacusban	Bp. Honvedban	ujpesti Dozsaban	OTP-Sport Plussz SE-ben	A	SPORT
10	Mitol irtozik az alabbiak kozul az arachnofobiaban szenvedo ember?	a madaraktol	a magassagtol	a pokoktol	a zart terektol	C	NYELV
11	Hol talalhato a Veszelyek Tengere?	A Horn-foknal	Borneo es Szumatra kozott	A Hebridaknal	A Holdon	D	FoLDRAJZ
1	Mit dob be a mondas szerint, aki felad valamit?	a tetet	a torulkozot	a kulcsot	a csatabardot	B	NYELV
2	Az alabbiak kozul melyiket neveztek diszmagyarnak?	a nemesi oklevelet	az orszaggyulesi kepviselot	a nemesi diszoltozetet	a varmegye foispanjat	C	aLTALaNOS
3	Hol kerestek a kalandvagyok a meses gazdagsagarol hires Eldoradot?	Alaszkaban	Indiaban	Del-Amerikaban	Belso-Afrikaban	C	ToRTeNELEM
4	A het melyik napjarol irt "szomoru" dalt Seress Rezso a 30-as evekben?	a szombatrol	a vasarnaprol	a hetforol	a szerdarol	B	ZENE
5	Hol halt meg Jozsef Attila?	Balatonfureden	Balatonszabadiban	Balatonszeplakon	Balatonszarszon	D	IRODALOM
6	Ki volt a mondabeli Arthur kiraly felesege?	Izolda	Guinevra	Freya	Brunhilda	B	ToRTeNELEM
7	Melyik nep vezetoje volt a mondakbol ismert Szvatopluk?	besenyo	bolgar	kazar	morva	D	ToRTeNELEM
8	Ki irt operat Salomerol?	Verdi	Wagner	Richard Strauss	Rimszkij-Korszakov	C	OPERA
9	Melyik varunkban lathato a Vorostorony?	a sarospataki varban	a siklosi varban	az egri varban	a budai varban	A	MAGYARORSZaG
10	Ki nem kapta meg egyszer sem a legjobb rendezesert jaro Oscar-dijat?	Alfred Hitchcock	Victor Fleming	Billy Wilder	Milos Forman	A	FILM
11	Ki volt a hires irono, George Sand ismert szerelme az alabbiak kozul?	Frederic Chopin	ifj. Alexandre Dumas	Victor Hugo	Hector Berlioz	A	IRODALOM
12	Melyik orszagbol ered a jegkorong?	Svedorszagbol	az Egyesult allamokbol	Kanadabol	Finnorszagbol	C	SPORT
1	A szolas szerint mire epit az, aki bizonytalan dologra alapoz?	vizre	uvegre	homokra	papirra	C	NYELV
2	Mibol keszult Pinokkio?	acelbol	rongybol	fabol	bronzbol	C	IRODALOM
3	Melyik orszag hirhedt titkosszolgalata volt a Securitate?	Bulgaria	Romania	Albania	NDK	B	ToRTeNELEM
4	Mivel jatsszak a tarokk nevu jatekot?	kartyaval	kockaval	dominoval	sakkbabuval	A	JaTeK
5	Melyik orosz carrol irt operat Muszorgszkij?	Nagy Peterrol	Borisz Godunovrol	I. Miklosrol	Rettegett Ivanrol	B	OPERA
6	Melyik megyenk nem hataros a Balatonnal az alabbiak kozul?	Fejer megye	Somogy megye	Zala megye	Veszprem megye	A	FoLDRAJZ
1	Melyik egy eteltipus elnevezese?	lefujt	kifujt	elfujt	felfujt	D	KONYHA
2	Hanyan vannak a gonoszok a mondas szerint?	heten	tizen	tizenketten	negyvenen	A	NYELV
3	Melyik sportag kuzdelmei folynak paston?	birkozas	vivas	okolvivas	cselgancs	B	SPORT
4	Az alabbiak kozul mi kapcsolodik Louis Braille nevehez?	az elektrokardiograf	a vakiras	a nagy francia forradalom	az internet	B	aLTALaNOS
5	Melyik mai allam teruleten talalhato Tibet?	Kina	Mongolia	India	Kambodzsa	A	ORSZaGOK
6	Kitol szarmazik az idezet? "Mostan szines tintakrol almodom…"	Szep Erno	Heltai Jeno	Kosztolanyi Dezso	Zelk Zoltan	C	IRODALOM
7	A katonak mijet neveztek kepinek?	zsoldkonyvet	zubbonyat	szuronyat	sapkajat	D	NYELV
8	Melyik szo irasmodja helytelen?	dimbes-dombos	izeg-mozog	ici-pici	gizgazos	C	NYELV
9	Ki irta a "A tenger" cimu harom szimfonikus vazlatot?	Saint-Saens	Debussy	Ravel	Berlioz	B	OPERA
1	Milyen lehet egy bajusz?	kacifantos	kackias	bakafantos	bagoleso	B	aLTALaNOS
2	Mi a vege a nemakarasnak a mondas szerint?	nyafogas	nyuszites	nyoges	nyuglodes	C	NYELV
3	Milyen madar szobrat kerestek a Dashiel Hammett regenyebol forgatott krimiben?	dan dogkeselyu	maltai solyom	kretai albatrosz	kenyai kakadu	B	FILM
4	Milyen regi magyar mertekegyseg volt a rof?	terfogategyseg	hosszmertek	teruletmertek	tomegegyseg	B	aLTALaNOS
5	Milyen nyelven irodott Janus Pannonius eletmuve?	nemetul	latinul	gorogul	magyarul	B	IRODALOM
6	Mit jelent a civisvaros kifejesesben a civis szo?	mezo	vasar	polgar	huseges	C	NYELV
7	Melyik folyo torkolatanal fekszik Szentpetervar?	Lena	Neva	Volga	Jenyiszej	B	FoLDRAJZ
8	Melyiket neveztek a kozepkorban borlatonak?	a borkimeres ellenoret	a kapatos lovagokat	a kocsmat	a boroshordot	A	NYELV
9	Melyik filmben nem jatszott Marlon Brando?	A vagy villamosa	Oroszlankolykok	Superman	Batman	D	FILM
10	Hol rendeztek meg a masodik ujkori olimpiai jatekokat?	Amszterdam	London	St. Louis	Parizs	D	SPORT
1	Mit kerdez Hofeherke mostohaja a tukortol?	Hogy nez ki az uveges?	Latszanak-e a szarkalabak?	Hasznaljak-e alapozot?	Ki a legszebb a videken?	D	IRODALOM
2	Minek a melegen tartasara szolgal a muff?	lab	kez	ful	orr	B	aLTALaNOS
3	Kinek az arckepe lathato az uj huszezres bankon?	Kossuth Lajos	Deak Ferenc	Kolcsey Ferenc	Szent Istvan	B	aLTALaNOS
4	Mely romvar bus duledekeirol irt halhatatlan sorokat Kolcsey Ferenc?	Dregely	Szendro	Huszt	Siklos	C	IRODALOM
5	Kirol neveztek el az amerikai kontinenst?	egy spanyol matrozrol	egy viking hajosrol	egy angol hajoepitorol	egy italiai felfedezorol	D	ToRTeNELEM
6	Melyik szo edessegnev es novenynev is egyben?	cinkapanna	borzaskata	bubosborcsa	szeplosbarbi	B	NYELV
7	Ki kapta a legtobb magyar olimpiai aranyermet?	Gerevich Aladar	Karpati Rudolf	Kovacs Pal	Egerszegi Krisztina	A	SPORT
